Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array5_15,6068339.6,129948.76558721134,6018986.408991731,6117692.7910082685,12840672.166666666,1.0671873729054748,12840671.76135999,12840672.571973342,14421.866666666667,2621.863443346269,13426.11017192547,15417.623161407864,6104.233333333334,790.0955926693653,5804.1632362947175,6404.30343037195
array5_16,2692130.7,122964.48234812902,2645430.0671995496,2738831.3328004507,5403923.766666667,1.0546194679704248,5403923.36613315,5403924.1672001835,12284.8,1410.8558253769236,11748.971616249586,12820.628383750412,5724.533333333334,489.7225563747521,5538.54179461725,5910.524872049417
array5_17,2692284.5,109723.71702439724,2650612.5722985547,2733956.4277014453,5403924.2,1.1944315244779278,5403923.746367318,5403924.653632683,12665.4,1639.5984589730092,12042.697540635334,13288.102459364665,5611.1,441.3908585369661,5443.46433795857,5778.735662041431
array5_18,936716.6666666666,57831.78676837006,914752.7549216693,958680.578411664,1594670.7333333334,0.9977753031397176,1594670.35438864,1594671.1122780268,11716.733333333334,1173.180859411237,11271.17143222462,12162.295234442046,5609.766666666666,490.40171854873785,5423.517189213368,5796.016144119965
array5_19,142959164.23333332,5470938.988909805,140881358.44815218,145036970.01851445,311046913.1666667,4.074991479200364,311046911.61902726,311046914.7143061,79328.86666666667,49769.293919533244,60427.00593672413,98230.7273966092,11699.6,3733.438509827994,10281.67884422334,13117.521155776662
array5_20,612192600.2,15128275.815093393,606447038.227524,617938162.172476,1350332820.9666667,7.1390164277409776,1350332818.2553425,1350332823.677991,163578.4,64061.102500971676,139248.65886206712,187908.14113793286,14176.066666666668,3894.696752708169,12696.901305709911,15655.232027623424
array6_1,81514298.8,4135194.308344171,79943794.96617134,83084802.63382865,179141042.4,2.026491220476089,179141041.6303597,179141043.1696403,32546.233333333334,12535.971539755326,27785.20159070738,37307.26507595929,8621.3,2347.5385570138496,7729.729246864786,9512.870753135212
array6_2,299135.1,24140.65696337474,289966.7293056362,308303.47069436376,128594.0,1.0,128593.62021038996,128594.37978961004,11422.6,882.3482910204261,11087.493286628984,11757.706713371017,5495.8,502.70384919950635,5304.878301144116,5686.721698855884
array6_3,6038092.0,323527.7531674833,5915219.520785605,6160964.479214395,12577444.066666666,0.8537498983243798,12577443.742421325,12577444.390912008,14361.7,2510.124819605591,13408.380673596304,15315.019326403697,5987.6,910.9569181177926,5641.628027299736,6333.571972700265
array6_4,386733.73333333334,77038.18728221017,357475.4302268057,415992.036439861,250721.1,1.0440306508910548,250720.70348800623,250721.49651199378,11604.4,1230.0485518872822,11137.24034014162,12071.55965985838,5730.333333333333,422.33014994853914,5569.936730373894,5890.729936292772
array6_5,6254335.266666667,260488.51002708141,6155404.437022132,6353266.096311201,13158682.933333334,1.0624918300339485,13158682.529809976,13158683.336856691,15089.6,2022.1218327951128,14321.619137658125,15857.580862341876,6249.766666666666,935.3537185946763,5894.529042626927,6605.004290706406
array6_6,1861443.9,318180.0300407878,1740602.4304665236,1982285.3695334762,3663656.533333333,5.445079328062072,3663654.4653487788,3663658.6013178877,12502.633333333333,1632.2605078710799,11882.717751556203,13122.548915110463,5862.566666666667,405.45404041504986,5708.579434766037,6016.5538985672965
array6_7,5964884.966666667,207227.7888056978,5886182.005565546,6043587.927767787,12577444.1,1.0440306508910548,12577443.703488005,12577444.496511994,14414.166666666666,2072.863045537634,13626.91481892407,15201.418514409263,5677.966666666666,1048.2856634630764,5279.8386633236705,6076.094670009662
array6_8,329172.43333333335,55950.764536738505,307922.9142881743,350421.9523784924,128593.63333333333,1.2775845264491201,128593.14812000423,128594.11854666243,12193.433333333332,1128.6222480922877,11764.794329841616,12622.07233682505,5754.166666666667,460.8192764583048,5579.152293359089,5929.181039974245
array6_9,5704924.4,181158.9578562797,5636122.110039503,5773726.689960497,12123089.466666667,5.031456603763524,12123087.555771725,12123091.377561608,13235.0,1446.0267401861327,12685.814068229252,13784.185931770748,5756.1,588.3182443768565,5532.662843385424,5979.537156614577
array6_10,5824880.533333333,249190.05563902872,5730240.739274954,5919520.327391712,12123089.266666668,5.085491345211614,12123087.335249893,12123091.198083442,14442.733333333334,2168.644860019475,13619.104547619223,15266.362119047444,5895.2,1076.0652210716598,5486.5216093056015,6303.878390694398
array6_11,323038.56666666665,53528.21774894891,302709.1057213594,343368.0276119739,129241.86666666667,1.1175369742826808,129241.442237735,129242.29109559834,11586.966666666667,1002.488918752832,11206.23179113853,11967.701542194804,5964.3,644.8233427329793,5719.402794115165,6209.197205884835
array6_12,5735534.266666667,212254.5909614102,5654922.178335052,5816146.354998281,12123087.966666667,1.0796089827134432,12123087.556642393,12123088.376690941,13612.7,2019.275037399974,12845.800320971124,14379.599679028877,6007.466666666666,746.4611949428822,5723.968460525164,6290.964872808168
array6_13,362330.43333333335,32613.65361591505,349944.1065443839,374716.7601222828,203411.6,6.839103255057152,203409.0025796417,203414.1974203583,11487.033333333333,1014.9399484151212,11101.56968610509,11872.496980561576,5427.933333333333,742.1695643329914,5146.065043907622,5709.801622759045
array6_14,6104637.333333333,222377.77517673737,6020180.56481616,6189094.101850506,12577443.9,1.1930353445448856,12577443.446897572,12577444.353102429,14865.033333333333,2288.6685719479397,13995.820788869689,15734.245877796977,6012.6,670.4916902293917,5757.954222428989,6267.245777571012
array6_15,6051254.566666666,128620.01921180682,6002406.019726162,6100103.113607171,12840672.066666666,0.9977753031397177,12840671.687721973,12840672.44561136,13702.633333333333,1903.0208351168646,12979.885792455718,14425.380874210949,6138.266666666666,942.4269709402186,5780.342694876859,6496.190638456474
array6_16,2703807.566666667,124160.98424778572,2656652.514876327,2750962.6184570068,5403923.6,1.1718930554164633,5403923.154927193,5403924.045072806,12054.366666666667,1462.0991640636264,11499.076595298999,12609.656738034335,5634.3,519.1701166284515,5437.124583858371,5831.4754161416295
array6_17,2692726.0,96084.3177065505,2656234.174446735,2729217.825553265,5403924.266666667,1.1234866364235143,5403923.839978115,5403924.6933552185,12879.133333333333,1386.44996864494,12352.574040393989,13405.692626272677,5795.833333333333,680.6711434720555,5537.321505184814,6054.345161481852
