Class,Program,Entry,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-store-misses
1636-Coin_Combinations_II,6667004.cpp,entry2.txt,2599444014,6828100334,15453692,7307544,796200455,104457,1104,791371359,68280,2466661803,6694344,1321562784,1113802,522690,151744,78657,2435518352,12357
1636-Coin_Combinations_II,6667004.cpp,entry6.txt,4540105811,10993583570,17579960,10140591,1202747079,169485,1105,1207422855,119988,3931778085,7419609,2218906067,1953558,549391,177221,65182,3907698349,16717
1636-Coin_Combinations_II,6667004.cpp,entry5.txt,4433881578,11064532788,17750333,10011533,1211804825,181517,1105,1208152824,111549,3911548801,7441626,2201723543,1958420,618942,239854,77959,3905337549,13255
1636-Coin_Combinations_II,6667004.cpp,entry3.txt,4423891657,10985295877,17308263,9884642,1200496016,145392,1104,1207806660,103923,3929661035,7490254,2214147892,1829461,602437,184038,70357,3912690054,16785
1636-Coin_Combinations_II,6667004.cpp,entry4.txt,4273994309,10575732111,27866451,10586270,1163918338,163632,1103,1170321250,118431,3783022331,12570198,2122119797,1890807,891163,215728,69951,3766660770,15924
1636-Coin_Combinations_II,6667004.cpp,entry1.txt,4453959558,11003398617,17456912,9863108,1200660386,177071,1104,1207724292,114398,3926732963,7449718,2216007963,2005092,576841,204468,80324,3915628026,16929
1636-Coin_Combinations_II,3205915.cpp,entry2.txt,2271518920,6105658391,37529374,18854070,448570610,460630,98763,449282011,407826,1968617786,19240898,532398559,4577761,1129785,6944153,6761373,1961190537,574368
1636-Coin_Combinations_II,3205915.cpp,entry6.txt,5250636652,8740197951,32673499,18978475,608229654,48004583,98764,608298940,48096785,2902323995,16854504,846675506,9686863,1302884,6939187,6731895,2895126693,564837
1636-Coin_Combinations_II,3205915.cpp,entry5.txt,5252681834,8741177275,33046444,18982066,607164031,48067429,98763,610186776,48062745,2900244536,16730478,844993373,9889035,1330867,6929659,6682096,2895292084,565308
1636-Coin_Combinations_II,3205915.cpp,entry3.txt,5206466505,8738197868,36177884,19677747,610488043,46401440,98765,610720538,46646028,2890773417,17859067,839468057,9969991,1496292,6978645,6707327,2894034199,565735
1636-Coin_Combinations_II,3205915.cpp,entry4.txt,3808188642,8329131943,46545263,17850345,590213808,17565330,98765,593932263,17351160,2770487042,23577382,800993570,6634897,1482410,6743137,6565459,2717949307,558723
1636-Coin_Combinations_II,3205915.cpp,entry1.txt,5212280846,8767116638,33413980,19133309,608412157,47220326,98763,608129560,47153797,2896414250,16944671,843655726,10216207,1376238,6992535,6691399,2890272450,562009
1636-Coin_Combinations_II,1623325.cpp,entry2.txt,6249338362,15819534125,67136837,38531793,1693163097,435506,99782,1700590614,403722,5246025031,33079239,3296617022,5974407,1883217,7633931,7012858,5210345920,1866927
1636-Coin_Combinations_II,1623325.cpp,entry6.txt,8322267270,20456700748,60915714,36061293,2109742803,478960,99781,2117553770,442902,6706951372,30603442,4223390360,6754479,1664876,7475914,6962768,6684990210,1885906
1636-Coin_Combinations_II,1623325.cpp,entry5.txt,8225203906,20490699233,60531277,35601166,2113192391,462292,99780,2116451938,432833,6702794346,30126099,4222947657,6083047,1631399,7648667,6951736,6687320993,1847115
1636-Coin_Combinations_II,1623325.cpp,entry3.txt,8261174851,20433111015,61058712,35957836,2113308580,475893,99782,2118592411,433086,6711060640,30153175,4221597233,6170200,1697024,7545085,6956100,6669125965,1886259
1636-Coin_Combinations_II,1623325.cpp,entry4.txt,8033190043,20031287230,73232198,38284798,2077628907,489755,99782,2079208932,455052,6553754644,36258606,4124079778,6323777,1978019,7536368,7033336,6542162566,1879622
