file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
9Q67,gcc,12,-Ofast,1522,1522,1522.0,2.250097274780273
D0YF,gcc,9,-O0,1435,1435,1435.0,1.8710887432098389
D0YF,gcc,9,-O1,1441,1441,1441.0,1.9461100101470947
D0YF,gcc,9,-O2,1433,1433,1433.0,1.935427188873291
D0YF,gcc,9,-O3,1433,1433,1433.0,2.0271291732788086
D0YF,gcc,9,-Os,1426,1426,1426.0,2.0454659461975098
D0YF,gcc,9,-Ofast,1517,1517,1517.0,2.000464916229248
D0YF,gcc,10,-O0,1435,1435,1435.0,1.8196263313293457
D0YF,gcc,10,-O1,1441,1441,1441.0,1.8927977085113523
D0YF,gcc,10,-O2,1433,1433,1433.0,1.965412139892578
D0YF,gcc,10,-O3,1433,1433,1433.0,2.0435128211975098
D0YF,gcc,10,-Os,1426,1426,1426.0,2.018227815628052
D0YF,gcc,10,-Ofast,1517,1517,1517.0,2.0915534496307373
D0YF,gcc,11,-O0,1438,1438,1438.0,1.827789545059204
D0YF,gcc,11,-O1,1441,1441,1441.0,2.126730442047119
D0YF,gcc,11,-O2,1433,1433,1433.0,2.101656198501587
D0YF,gcc,11,-O3,1433,1433,1433.0,2.1039035320281982
D0YF,gcc,11,-Os,1426,1426,1426.0,2.058565378189087
D0YF,gcc,11,-Ofast,1517,1517,1517.0,2.259003162384033
D0YF,gcc,12,-O0,1438,1438,1438.0,1.9686603546142576
D0YF,gcc,12,-O1,1441,1441,1441.0,2.2102372646331787
D0YF,gcc,12,-O2,1433,1433,1433.0,2.2378549575805664
D0YF,gcc,12,-O3,1433,1433,1433.0,2.312922239303589
D0YF,gcc,12,-Os,1426,1426,1426.0,2.148205518722534
D0YF,gcc,12,-Ofast,1517,1517,1517.0,2.259819984436035
D0YY,gcc,9,-O0,1435,1435,1435.0,1.892813920974732
D0YY,gcc,9,-O1,1441,1441,1441.0,1.995713233947754
D0YY,gcc,9,-O2,1433,1433,1433.0,2.1299400329589844
D0YY,gcc,9,-O3,1433,1433,1433.0,1.9722340106964111
D0YY,gcc,9,-Os,1426,1426,1426.0,1.9911279678344729
D0YY,gcc,9,-Ofast,1517,1517,1517.0,2.141160488128662
D0YY,gcc,10,-O0,1435,1435,1435.0,1.76698899269104
D0YY,gcc,10,-O1,1441,1441,1441.0,2.0674378871917725
D0YY,gcc,10,-O2,1433,1433,1433.0,2.005846738815308
D0YY,gcc,10,-O3,1433,1433,1433.0,2.1087076663970947
D0YY,gcc,10,-Os,1426,1426,1426.0,1.986142873764038
D0YY,gcc,10,-Ofast,1517,1517,1517.0,2.051705837249756
D0YY,gcc,11,-O0,1438,1438,1438.0,1.9044325351715088
D0YY,gcc,11,-O1,1441,1441,1441.0,2.0706770420074463
D0YY,gcc,11,-O2,1433,1433,1433.0,2.0013277530670166
D0YY,gcc,11,-O3,1433,1433,1433.0,2.113497257232666
D0YY,gcc,11,-Os,1426,1426,1426.0,1.996686935424805
D0YY,gcc,11,-Ofast,1517,1517,1517.0,2.1212282180786133
D0YY,gcc,12,-O0,1438,1438,1438.0,2.0417416095733643
D0YY,gcc,12,-O1,1441,1441,1441.0,2.162193298339844
D0YY,gcc,12,-O2,1433,1433,1433.0,2.2576308250427246
D0YY,gcc,12,-O3,1433,1433,1433.0,2.3126511573791504
D0YY,gcc,12,-Os,1426,1426,1426.0,2.223358631134033
D0YY,gcc,12,-Ofast,1517,1517,1517.0,2.15899658203125
D1LX,gcc,9,-O0,1448,1448,1448.0,1.8260788917541504
D1LX,gcc,9,-O1,1444,1444,1444.0,1.8861463069915767
D1LX,gcc,9,-O2,1438,1438,1438.0,1.8837857246398928
D1LX,gcc,9,-O3,1438,1438,1438.0,1.957268476486206
D1LX,gcc,9,-Os,1431,1431,1431.0,2.0089359283447266
D1LX,gcc,9,-Ofast,1522,1522,1522.0,1.9843759536743164
D1LX,gcc,10,-O0,1448,1448,1448.0,1.8686707019805908
D1LX,gcc,10,-O1,1444,1444,1444.0,2.0304176807403564
D1LX,gcc,10,-O2,1438,1438,1438.0,2.1845602989196777
D1LX,gcc,10,-O3,1438,1438,1438.0,2.088399648666382
D1LX,gcc,10,-Os,1431,1431,1431.0,2.016610622406006
D1LX,gcc,10,-Ofast,1522,1522,1522.0,2.0658771991729736
D1LX,gcc,11,-O0,1451,1451,1451.0,1.846097707748413
D1LX,gcc,11,-O1,1444,1444,1444.0,2.1527745723724365
D1LX,gcc,11,-O2,1438,1438,1438.0,2.173452615737915
D1LX,gcc,11,-O3,1438,1438,1438.0,2.098933458328247
D1LX,gcc,11,-Os,1431,1431,1431.0,2.0725762844085693
D1LX,gcc,11,-Ofast,1522,1522,1522.0,2.0374255180358887
D1LX,gcc,12,-O0,1451,1451,1451.0,2.095846652984619
