file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
4C28,gcc,9,-O1,1450,1450,1450.0,1.7210395336151123
4C28,gcc,9,-O2,1448,1448,1448.0,1.95357608795166
4C28,gcc,9,-O3,1448,1448,1448.0,2.2121241092681885
4C28,gcc,9,-Os,1438,1438,1438.0,2.321907520294189
4C28,gcc,9,-Ofast,1532,1532,1532.0,2.256366729736328
4C28,gcc,10,-O0,1459,1459,1459.0,1.8368198871612549
4C28,gcc,10,-O1,1450,1450,1450.0,1.803713083267212
4C28,gcc,10,-O2,1448,1448,1448.0,2.084067106246948
4C28,gcc,10,-O3,1448,1448,1448.0,1.929821491241455
4C28,gcc,10,-Os,1438,1438,1438.0,2.344663143157959
4C28,gcc,10,-Ofast,1532,1532,1532.0,2.2426350116729736
4C28,gcc,11,-O0,1462,1462,1462.0,1.80629301071167
4C28,gcc,11,-O1,1446,1446,1446.0,1.983837842941284
4C28,gcc,11,-O2,1448,1448,1448.0,2.012545108795166
4C28,gcc,11,-O3,1448,1448,1448.0,2.220531940460205
4C28,gcc,11,-Os,1438,1438,1438.0,1.7254359722137451
4C28,gcc,11,-Ofast,1532,1532,1532.0,1.7440273761749268
4C28,gcc,12,-O0,1462,1462,1462.0,1.7750627994537354
4C28,gcc,12,-O1,1446,1446,1446.0,1.6995620727539062
4C28,gcc,12,-O2,1448,1448,1448.0,1.8053290843963623
4C28,gcc,12,-O3,1448,1448,1448.0,2.011551141738892
4C28,gcc,12,-Os,1438,1438,1438.0,1.9097609519958496
4C28,gcc,12,-Ofast,1532,1532,1532.0,2.1385576725006104
4VIA,gcc,9,-O0,1475,1475,1475.0,1.7683041095733645
4VIA,gcc,9,-O1,1465,1465,1465.0,1.8170864582061768
4VIA,gcc,9,-O2,1464,1464,1464.0,1.8049631118774407
4VIA,gcc,9,-O3,1464,1464,1464.0,1.8771255016326904
4VIA,gcc,9,-Os,1448,1448,1448.0,2.1817731857299805
4VIA,gcc,9,-Ofast,1548,1548,1548.0,2.123906373977661
4VIA,gcc,10,-O0,1475,1475,1475.0,1.92337703704834
4VIA,gcc,10,-O1,1465,1465,1465.0,2.2658944129943848
4VIA,gcc,10,-O2,1464,1464,1464.0,2.2886745929718018
4VIA,gcc,10,-O3,1464,1464,1464.0,1.9773824214935305
4VIA,gcc,10,-Os,1448,1448,1448.0,2.094732999801636
4VIA,gcc,10,-Ofast,1548,1548,1548.0,2.040654182434082
4VIA,gcc,11,-O0,1479,1479,1479.0,1.8665785789489744
4VIA,gcc,11,-O1,1465,1465,1465.0,1.992027759552002
4VIA,gcc,11,-O2,1464,1464,1464.0,2.1455228328704834
4VIA,gcc,11,-O3,1464,1464,1464.0,2.003587007522583
4VIA,gcc,11,-Os,1448,1448,1448.0,2.0822067260742188
4VIA,gcc,11,-Ofast,1548,1548,1548.0,2.189401388168335
4VIA,gcc,12,-O0,1479,1479,1479.0,2.585764646530152
4VIA,gcc,12,-O1,1465,1465,1465.0,2.52346134185791
4VIA,gcc,12,-O2,1464,1464,1464.0,2.598017454147339
4VIA,gcc,12,-O3,1464,1464,1464.0,2.4839837551116943
4VIA,gcc,12,-Os,1448,1448,1448.0,2.324383497238159
4VIA,gcc,12,-Ofast,1548,1548,1548.0,2.343689203262329
51Z0,gcc,9,-O0,2092,2092,2092.0,2.0409812927246094
51Z0,gcc,9,-O1,2179,2179,2179.0,2.116984367370605
51Z0,gcc,9,-O2,2163,2163,2163.0,2.530958414077759
51Z0,gcc,9,-O3,2190,2190,2190.0,2.372504949569702
51Z0,gcc,9,-Os,2071,2071,2071.0,2.0836215019226074
51Z0,gcc,9,-Ofast,2274,2274,2274.0,2.279123306274414
51Z0,gcc,10,-O0,2085,2085,2085.0,2.280641794204712
51Z0,gcc,10,-O1,2170,2170,2170.0,2.272615671157837
51Z0,gcc,10,-O2,2163,2163,2163.0,2.616081953048706
51Z0,gcc,10,-O3,2190,2190,2190.0,2.4012999534606934
51Z0,gcc,10,-Os,2071,2071,2071.0,2.0981876850128174
51Z0,gcc,10,-Ofast,2274,2274,2274.0,2.445068120956421
51Z0,gcc,11,-O0,2121,2121,2121.0,2.09739637374878
51Z0,gcc,11,-O1,2175,2175,2175.0,2.2174935340881348
51Z0,gcc,11,-O2,2187,2187,2187.0,2.5283901691436768
51Z0,gcc,11,-O3,2186,2186,2186.0,2.4629595279693604
51Z0,gcc,11,-Os,2072,2072,2072.0,2.240481376647949
51Z0,gcc,11,-Ofast,2274,2274,2274.0,2.585357904434204
51Z0,gcc,12,-O0,2124,2124,2124.0,2.17820692062378
51Z0,gcc,12,-O1,2175,2175,2175.0,2.5815117359161377
51Z0,gcc,12,-O2,2171,2171,2171.0,2.443867921829224
51Z0,gcc,12,-O3,2181,2181,2181.0,2.862626552581787
51Z0,gcc,12,-Os,2070,2070,2070.0,2.4400570392608643
51Z0,gcc,12,-Ofast,2265,2265,2265.0,2.9225590229034424
5DPK,gcc,9,-O0,1571,1571,1571.0,2.1292312145233154
5DPK,gcc,9,-O1,1441,1441,1441.0,2.1949880123138428
5DPK,gcc,9,-O2,1433,1433,1433.0,2.1452791690826416
5DPK,gcc,9,-O3,1433,1433,1433.0,2.1563916206359863
5DPK,gcc,9,-Os,1426,1426,1426.0,1.7654798030853271
5DPK,gcc,9,-Ofast,1517,1517,1517.0,1.9808533191680908
5DPK,gcc,10,-O0,1560,1560,1560.0,1.797877311706543
5DPK,gcc,10,-O1,1441,1441,1441.0,2.055009603500366
5DPK,gcc,10,-O2,1433,1433,1433.0,2.417358875274658
5DPK,gcc,10,-O3,1433,1433,1433.0,1.9660723209381104
5DPK,gcc,10,-Os,1426,1426,1426.0,1.9137754440307613
5DPK,gcc,10,-Ofast,1517,1517,1517.0,1.954607963562012
5DPK,gcc,11,-O0,1563,1563,1563.0,1.876403570175171
5DPK,gcc,11,-O1,1441,1441,1441.0,2.041109800338745
5DPK,gcc,11,-O2,1433,1433,1433.0,2.1296420097351074
5DPK,gcc,11,-O3,1433,1433,1433.0,2.3171916007995605
5DPK,gcc,11,-Os,1426,1426,1426.0,2.012744188308716
5DPK,gcc,11,-Ofast,1517,1517,1517.0,2.260565996170044
5DPK,gcc,12,-O0,1568,1568,1568.0,2.264442205429077
5DPK,gcc,12,-O1,1441,1441,1441.0,2.440650224685669
5DPK,gcc,12,-O2,1433,1433,1433.0,2.86749005317688
5DPK,gcc,12,-O3,1433,1433,1433.0,2.7085869312286377
5DPK,gcc,12,-Os,1426,1426,1426.0,2.5755398273468018
5DPK,gcc,12,-Ofast,1517,1517,1517.0,2.898591995239258
67SM,gcc,9,-O0,1449,1449,1449.0,2.017103433609009
67SM,gcc,9,-O1,1447,1447,1447.0,2.011706829071045
67SM,gcc,9,-O2,1442,1442,1442.0,1.9340898990631104
67SM,gcc,9,-O3,1442,1442,1442.0,2.0449843406677246
67SM,gcc,9,-Os,1434,1434,1434.0,2.0141441822052
67SM,gcc,9,-Ofast,1526,1526,1526.0,2.389778614044189
67SM,gcc,10,-O0,1449,1449,1449.0,2.054168224334717
67SM,gcc,10,-O1,1447,1447,1447.0,2.296241521835327
67SM,gcc,10,-O2,1442,1442,1442.0,1.9859380722045896
67SM,gcc,10,-O3,1442,1442,1442.0,2.465971231460572
67SM,gcc,10,-Os,1434,1434,1434.0,2.272862434387207
67SM,gcc,10,-Ofast,1526,1526,1526.0,2.2145254611968994
67SM,gcc,11,-O0,1452,1452,1452.0,2.126682996749878
67SM,gcc,11,-O1,1447,1447,1447.0,2.467700481414795
67SM,gcc,11,-O2,1442,1442,1442.0,2.5178494453430176
67SM,gcc,11,-O3,1442,1442,1442.0,2.199766159057617
67SM,gcc,11,-Os,1434,1434,1434.0,2.283898115158081
67SM,gcc,11,-Ofast,1526,1526,1526.0,2.2334630489349365
67SM,gcc,12,-O0,1452,1452,1452.0,2.702421188354492
67SM,gcc,12,-O1,1447,1447,1447.0,2.4734132289886475
67SM,gcc,12,-O2,1442,1442,1442.0,2.59350323677063
67SM,gcc,12,-O3,1442,1442,1442.0,2.6416049003601074
67SM,gcc,12,-Os,1434,1434,1434.0,2.286195755004883
67SM,gcc,12,-Ofast,1526,1526,1526.0,2.57272744178772
6RY7,gcc,9,-O0,1449,1449,1449.0,1.860260009765625
6RY7,gcc,9,-O1,1441,1441,1441.0,2.8677902221679688
