Regression Analysis Report
Generated on: 2025-04-25 07:11:03
============================================================

Found 334 regression(s):

125. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI2.c | gcc-11 | Seconds until this regression: 3054.4663944244385
126. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI2.c | gcc-12 | Seconds until this regression: 3054.4663944244385
127. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI3.c | gcc-9 | Seconds until this regression: 3090.8869919776917
128. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI3.c | gcc-10 | Seconds until this regression: 3090.8869919776917
129. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI3.c | gcc-11 | Seconds until this regression: 3090.8869919776917
130. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI3.c | gcc-12 | Seconds until this regression: 3090.8869919776917
131. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI4.c | gcc-9 | Seconds until this regression: 3112.3637166023254
132. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI4.c | gcc-10 | Seconds until this regression: 3112.3637166023254
133. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI4.c | gcc-11 | Seconds until this regression: 3112.3637166023254
134. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI4.c | gcc-12 | Seconds until this regression: 3112.3637166023254
135. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI5.c | gcc-9 | Seconds until this regression: 3142.559063911438
136. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI5.c | gcc-10 | Seconds until this regression: 3142.559063911438
137. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI5.c | gcc-11 | Seconds until this regression: 3142.559063911438
138. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI5.c | gcc-12 | Seconds until this regression: 3142.559063911438
139. Regression found (-Os worse than -O0): ../../code/codes/MWLR | MWLR9.c | gcc-9 | Seconds until this regression: 3456.4456136226654
140. Regression found (-Os worse than -O0): ../../code/codes/MWLR | MWLR9.c | gcc-12 | Seconds until this regression: 3456.4456136226654
141. Regression found (-Os worse than -O3): ../../code/codes/LXKD | LXKD2.c | gcc-9 | Seconds until this regression: 3659.407211303711
142. Regression found (-Os worse than -O3): ../../code/codes/LXKD | LXKD2.c | gcc-10 | Seconds until this regression: 3659.407211303711
143. Regression found (-Os worse than -O3): ../../code/codes/LXKD | LXKD2.c | gcc-11 | Seconds until this regression: 3659.407211303711
144. Regression found (-Os worse than -O2): ../../code/codes/LXKD | LXKD2.c | gcc-12 | Seconds until this regression: 3659.407211303711
145. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI6.c | gcc-9 | Seconds until this regression: 4262.878118515015
146. Regression found (-Os worse than -O0): ../../code/codes/VILI | VILI6.c | gcc-10 | Seconds until this regression: 4262.878118515015
147. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI6.c | gcc-11 | Seconds until this regression: 4262.878118515015
148. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI6.c | gcc-12 | Seconds until this regression: 4262.878118515015
149. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI7.c | gcc-9 | Seconds until this regression: 4285.0319056510925
150. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI7.c | gcc-10 | Seconds until this regression: 4285.0319056510925
151. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI7.c | gcc-11 | Seconds until this regression: 4285.0319056510925
152. Regression found (-Os worse than -O1): ../../code/codes/VILI | VILI7.c | gcc-12 | Seconds until this regression: 4285.0319056510925
153. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN1.c | gcc-10 | Seconds until this regression: 5492.438757658005
154. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN1.c | gcc-11 | Seconds until this regression: 5492.438757658005
155. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN1.c | gcc-12 | Seconds until this regression: 5492.438757658005
156. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN2.c | gcc-12 | Seconds until this regression: 5572.745422363281
157. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN3.c | gcc-12 | Seconds until this regression: 5578.483152627945
158. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN4.c | gcc-10 | Seconds until this regression: 5649.748493432999
159. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN4.c | gcc-11 | Seconds until this regression: 5649.748493432999
160. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN4.c | gcc-12 | Seconds until this regression: 5649.748493432999
161. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN5.c | gcc-10 | Seconds until this regression: 5679.099544048309
162. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN5.c | gcc-11 | Seconds until this regression: 5679.099544048309
163. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN5.c | gcc-12 | Seconds until this regression: 5679.099544048309
164. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN6.c | gcc-10 | Seconds until this regression: 5744.6520047187805
165. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN6.c | gcc-11 | Seconds until this regression: 5744.6520047187805
166. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN6.c | gcc-12 | Seconds until this regression: 5744.6520047187805
167. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN7.c | gcc-10 | Seconds until this regression: 5762.9851977825165
168. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN7.c | gcc-11 | Seconds until this regression: 5762.9851977825165
169. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN7.c | gcc-12 | Seconds until this regression: 5762.9851977825165
170. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN8.c | gcc-10 | Seconds until this regression: 5826.850244998932
171. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN8.c | gcc-11 | Seconds until this regression: 5826.850244998932
172. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN8.c | gcc-12 | Seconds until this regression: 5826.850244998932
173. Regression found (-Os worse than -O3): ../../code/codes/FMSN | FMSN9.c | gcc-9 | Seconds until this regression: 5851.850531101227
