Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
S1BF0.out,10484078,6137285,66892,12045,1203566
S1BF0.out,10617710,6132188,74120,13629,1202421
S1BF0.out,10557566,6142703,68630,14280,1204236
S1BF0.out,10587867,6126620,67265,12834,1201922
S1BF0.out,10677668,6188369,71796,14819,1212021
S1BF0.out,10745450,6127748,68313,14197,1202327
S1BF0.out,10864325,6165216,77401,19882,1208504
S1BF0.out,10803015,6150977,69092,16913,1205638
S1BF0.out,10670579,6133909,70780,18592,1203272
S1BF0.out,10745689,6142288,73972,21794,1204010
S1BF0.out,10978665,6172762,81557,36413,1209321
S1BF0.out,10870890,6165619,78838,26041,1208470
S1BF0.out,10837048,6130069,71946,26433,1202732
S1BF0.out,10914710,6159540,76444,31675,1207350
S1BF0.out,9899855,6147084,85439,29386,1205452
S1BF0.out,10626772,6144506,72261,15266,1204787
S1BF0.out,10029665,6127606,79498,26119,1202581
S1BF0.out,10840832,6142045,73743,19352,1204640
S1BF0.out,10613213,6130369,69619,15263,1202927
S1BF0.out,11033975,6133963,73145,24493,1203490
S1BF0.out,10785848,6146076,73984,22294,1205207
S1BF0.out,10661717,6121654,68898,19717,1201345
S1BF0.out,10884691,6146587,73136,25099,1205225
S1BF0.out,10694529,6180083,77884,16479,1211366
S1BF0.out,10767622,6167961,70309,13284,1208235
S1BF0.out,10484983,6135080,67942,12384,1203711
S1BF0.out,10813088,6132709,72446,23744,1202961
S1BF0.out,10501716,6132400,70302,15822,1202632
S1BF0.out,10507968,6118762,65315,11493,1200214
S1BF0.out,10651209,6137013,67205,11688,1204100
S1BF0.out,10649861,6151875,69017,12400,1205946
S1BF0.out,10425337,6125937,64322,14614,1201980
S1BF0.out,10584253,6123879,64562,11752,1201243
S1BF0.out,10483918,6125513,64730,12662,1201391
S1BF0.out,10749898,6164590,71146,14619,1208186
S1BF0.out,10525276,6138781,67616,12877,1203750
S1BF0.out,10491348,6130557,70205,13398,1202524
S1BF0.out,10769825,6128755,75281,18690,1202658
