file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
4RHL,gcc,14,-Ofast,1757,1757,1757.0,0.0509784221649169
4WOF,gcc,14,-O0,1583,1583,1583.0,0.0428621768951416
4WOF,gcc,14,-O1,1627,1627,1627.0,0.0510563850402832
4WOF,gcc,14,-O2,1433,1433,1433.0,0.0454366207122802
4WOF,gcc,14,-O3,1433,1433,1433.0,0.0488262176513671
4WOF,gcc,14,-Os,1426,1426,1426.0,0.0454869270324707
4WOF,gcc,14,-Ofast,1529,1529,1529.0,0.0470397472381591
5N8C,gcc,14,-O0,1480,1480,1480.0,0.0422370433807373
5N8C,gcc,14,-O1,1502,1502,1502.0,0.0474944114685058
5N8C,gcc,14,-O2,1471,1471,1471.0,0.0516257286071777
5N8C,gcc,14,-O3,1751,1751,1751.0,0.0560805797576904
5N8C,gcc,14,-Os,1464,1464,1464.0,0.050133466720581
5N8C,gcc,14,-Ofast,1815,1815,1815.0,0.0558524131774902
6ADT,gcc,14,-O0,1470,1470,1470.0,0.0419936180114746
6ADT,gcc,14,-O1,1459,1459,1459.0,0.0469980239868164
6ADT,gcc,14,-O2,1450,1450,1450.0,0.0470571517944335
6ADT,gcc,14,-O3,1450,1450,1450.0,0.0483691692352294
6ADT,gcc,14,-Os,1445,1445,1445.0,0.0463917255401611
6ADT,gcc,14,-Ofast,1546,1546,1546.0,0.047297716140747
6WY6,gcc,14,-O0,1438,1438,1438.0,0.0406556129455566
6WY6,gcc,14,-O1,1441,1441,1441.0,0.0427191257476806
6WY6,gcc,14,-O2,1433,1433,1433.0,0.0445997714996337
6WY6,gcc,14,-O3,1433,1433,1433.0,0.0436863899230957
6WY6,gcc,14,-Os,1426,1426,1426.0,0.052527904510498
6WY6,gcc,14,-Ofast,1529,1529,1529.0,0.0529727935791015
7386,gcc,14,-O0,1508,1508,1508.0,0.046785831451416
7386,gcc,14,-O1,1568,1568,1568.0,0.0523543357849121
