model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,14.257404804229736,TJYF4,7,100,TJYF3,TJYF
meta-llama/Meta-Llama-3.1-8B-Instruct,6.952861070632935,NPOM1,6,85,,NPOM
meta-llama/Meta-Llama-3.1-8B-Instruct,31.38001251220703,NPOM2,8,99,NPOM1,NPOM
meta-llama/Meta-Llama-3.1-8B-Instruct,8.154552936553955,NPOM3,4,100,NPOM2,NPOM
meta-llama/Meta-Llama-3.1-8B-Instruct,30.112996101379395,NPOM4,5,61,NPOM3,NPOM
meta-llama/Meta-Llama-3.1-8B-Instruct,16.785826206207275,QMBB1,1,31,,QMBB
meta-llama/Meta-Llama-3.1-8B-Instruct,3.2081573009490967,QMBB2,12,29,QMBB1,QMBB
meta-llama/Meta-Llama-3.1-8B-Instruct,2.3962056636810303,QMBB3,12,44,QMBB2,QMBB
meta-llama/Meta-Llama-3.1-8B-Instruct,8.051718711853027,QMBB4,2,66,QMBB3,QMBB
meta-llama/Meta-Llama-3.1-8B-Instruct,12.191196203231812,QMBB5,8,113,QMBB4,QMBB
meta-llama/Meta-Llama-3.1-8B-Instruct,5.963072538375855,QMBB6,7,140,QMBB5,QMBB
meta-llama/Meta-Llama-3.1-8B-Instruct,16.7777841091156,PGYN1,9,16,,PGYN
meta-llama/Meta-Llama-3.1-8B-Instruct,5.949648857116699,PGYN2,9,61,PGYN1,PGYN
meta-llama/Meta-Llama-3.1-8B-Instruct,12.346076965332031,PGYN3,6,93,PGYN2,PGYN
meta-llama/Meta-Llama-3.1-8B-Instruct,5.6589953899383545,PGYN4,9,117,PGYN3,PGYN
meta-llama/Meta-Llama-3.1-8B-Instruct,16.831048011779785,YIWT1,12,56,,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,6.16926646232605,YIWT2,3,73,YIWT1,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,11.957925081253052,YIWT3,11,72,YIWT2,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,11.960960388183594,YIWT4,10,96,YIWT3,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,9.826112270355225,YIWT5,5,95,YIWT4,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,7.237650156021118,YIWT6,14,105,YIWT5,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,9.199466943740845,YIWT7,6,145,YIWT6,YIWT
meta-llama/Meta-Llama-3.1-8B-Instruct,37.16668343544006,COLE1,5,179,,COLE
meta-llama/Meta-Llama-3.1-8B-Instruct,15.697855710983276,COLE2,10,380,COLE1,COLE
meta-llama/Meta-Llama-3.1-8B-Instruct,37.1733934879303,THIU1,11,43,,THIU
meta-llama/Meta-Llama-3.1-8B-Instruct,16.012130975723267,THIU2,1,64,THIU1,THIU
meta-llama/Meta-Llama-3.1-8B-Instruct,32.91303515434265,THIU3,14,84,THIU2,THIU
meta-llama/Meta-Llama-3.1-8B-Instruct,31.53036332130432,THIU4,10,116,THIU3,THIU
meta-llama/Meta-Llama-3.1-8B-Instruct,13.010924100875854,THIU5,6,207,THIU4,THIU
meta-llama/Meta-Llama-3.1-8B-Instruct,37.11497783660889,LEFN1,6,69,,LEFN
meta-llama/Meta-Llama-3.1-8B-Instruct,9.382178783416748,LEFN2,5,91,LEFN1,LEFN
meta-llama/Meta-Llama-3.1-8B-Instruct,31.19171524047852,LEFN3,12,90,LEFN2,LEFN
meta-llama/Meta-Llama-3.1-8B-Instruct,4.293420076370239,LEFN4,9,99,LEFN3,LEFN
meta-llama/Meta-Llama-3.1-8B-Instruct,30.080007314682007,LEFN5,4,135,LEFN4,LEFN
meta-llama/Meta-Llama-3.1-8B-Instruct,15.87206482887268,EWSV1,4,80,,EWSV
meta-llama/Meta-Llama-3.1-8B-Instruct,11.065942287445068,EWSV2,10,78,EWSV1,EWSV
meta-llama/Meta-Llama-3.1-8B-Instruct,11.453311920166016,EWSV3,13,71,EWSV2,EWSV
meta-llama/Meta-Llama-3.1-8B-Instruct,16.387691020965576,OICF1,13,16,,OICF
meta-llama/Meta-Llama-3.1-8B-Instruct,16.41111993789673,OICF2,1,37,OICF1,OICF
meta-llama/Meta-Llama-3.1-8B-Instruct,15.973074913024902,IFGS1,6,106,,IFGS
meta-llama/Meta-Llama-3.1-8B-Instruct,8.698894739151001,IFGS2,2,149,IFGS1,IFGS
meta-llama/Meta-Llama-3.1-8B-Instruct,16.395833730697632,OOKI1,12,19,,OOKI
meta-llama/Meta-Llama-3.1-8B-Instruct,16.025925874710083,OOKI2,12,62,OOKI1,OOKI
meta-llama/Meta-Llama-3.1-8B-Instruct,6.082538843154907,CZBR1,4,36,,CZBR
meta-llama/Meta-Llama-3.1-8B-Instruct,2.143780469894409,CZBR2,3,41,CZBR1,CZBR
meta-llama/Meta-Llama-3.1-8B-Instruct,8.188086986541748,CZBR3,8,100,CZBR2,CZBR
meta-llama/Meta-Llama-3.1-8B-Instruct,15.863540172576904,MUHD1,4,75,,MUHD
meta-llama/Meta-Llama-3.1-8B-Instruct,15.968628883361816,SWWZ1,8,74,,SWWZ
meta-llama/Meta-Llama-3.1-8B-Instruct,4.276526212692261,SWWZ2,4,95,SWWZ1,SWWZ
meta-llama/Meta-Llama-3.1-8B-Instruct,15.84937071800232,TMZT1,4,31,,TMZT
meta-llama/Meta-Llama-3.1-8B-Instruct,5.3455212116241455,TMZT2,8,87,TMZT1,TMZT
meta-llama/Meta-Llama-3.1-8B-Instruct,7.920554161071777,IZOR1,3,30,,IZOR
meta-llama/Meta-Llama-3.1-8B-Instruct,14.797898054122925,IZOR2,8,97,IZOR1,IZOR
meta-llama/Meta-Llama-3.1-8B-Instruct,15.977955102920532,XKYG1,6,44,,XKYG
meta-llama/Meta-Llama-3.1-8B-Instruct,13.973934650421144,XKYG2,1,67,XKYG1,XKYG
meta-llama/Meta-Llama-3.1-8B-Instruct,16.300074100494385,ZWHD1,9,42,,ZWHD
meta-llama/Meta-Llama-3.1-8B-Instruct,14.117989778518677,ZWHD2,1,65,ZWHD1,ZWHD
meta-llama/Meta-Llama-3.1-8B-Instruct,12.333420038223268,ZWHD3,11,79,ZWHD2,ZWHD
