Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
array3_10,7459578,13885018,84285,20384,2076624
sortedlist3_10,1926190,1689708,80176,30436,322049
array3_11,1482549,1135018,68817,19358,210184
sortedlist3_11,1542080,1125543,68488,16853,208666
array3_12,8395276,13908229,106034,31701,2080614
sortedlist3_12,1769472,1686344,74431,21867,321449
array3_13,1882764,1968255,70517,18119,373551
sortedlist3_13,2182984,1671299,79439,28737,316748
array3_14,7800913,14379961,95936,20777,2147916
sortedlist3_14,1973557,1691052,79898,28394,322877
array3_15,8858465,16441540,82073,19461,2538669
sortedlist3_15,2475090,3039258,87395,19759,583595
array3_16,4308575,6799228,87419,31115,1041502
sortedlist3_16,2053438,1454925,82433,18981,273834
array3_17,5490372,6777338,92079,30382,1038633
sortedlist3_17,2296278,1398213,81838,31078,263797
array3_18,18888493,19907116,174044,56714,3811865
sortedlist3_18,10009786,13398330,137876,48879,2565892
array3_19,77586367,158429638,287856,53469,24721843
sortedlist3_19,15124242,28285886,140535,44789,5459510
array3_20,358404760,609571619,1586819,271416,94556854
sortedlist3_20,65939968,79487535,274479,61799,15464689
array4_1,110011610,199913314,329301,78684,29736480
sortedlist4_1,11876913,15326926,129270,37722,3026520
array4_2,1464050,1112778,69671,21266,206572
sortedlist4_2,1947475,1118621,89658,31043,207253
array4_3,7480996,14361147,76979,19393,2144518
sortedlist4_3,1737968,1676139,70512,17071,320460
array4_4,2331872,2918614,78606,23433,553206
sortedlist4_4,2008452,2353308,76223,19434,448783
array4_5,8731922,15770585,101393,29040,2388408
sortedlist4_5,1997689,2262360,74844,21375,429230
array4_6,23885905,48371174,155500,34453,9289822
sortedlist4_6,16206680,32966624,140351,35212,6360119
array4_7,7382233,14350234,77884,18529,2143480
sortedlist4_7,1979230,1684987,76034,31642,321673
array4_8,1508958,1131224,65809,18263,209641
sortedlist4_8,1658651,1112925,77757,18559,205974
array4_9,8206337,13917113,100627,39369,2082014
sortedlist4_9,1941301,1678200,77287,19707,320669
array4_10,7230294,13902141,81221,23860,2079849
sortedlist4_10,1889567,1677176,74926,26098,320009
array4_11,1567412,1150399,72138,17413,213244
sortedlist4_11,1612519,1126417,74635,25656,208828
array4_12,7336961,13905087,80996,21466,2079791
sortedlist4_12,1968158,1688762,80422,35475,321531
array4_13,1881319,1964609,70385,20783,373002
sortedlist4_13,1757371,1680117,68204,17000,317960
array4_14,8461089,14362463,106563,37590,2145508
sortedlist4_14,1783458,1702410,73108,16493,324103
array4_15,8226939,16424122,80260,21542,2538157
sortedlist4_15,3278545,3057478,77910,23560,585846
array4_16,4013918,6765999,72457,17933,1037155
sortedlist4_16,1575843,1390924,63557,13577,262487
array4_17,4111223,6780884,78027,30834,1039115
sortedlist4_17,1582770,1398977,72967,21742,264378
array4_18,11127699,19815320,132182,30348,3796647
sortedlist4_18,6474480,13271902,83576,21496,2545326
array4_19,143271004,294779639,464368,80861,46467016
sortedlist4_19,29745360,53855802,161701,45556,10394850
array4_20,707684556,1530665307,989268,143830,228949108
sortedlist4_20,71555039,103703799,374249,53612,20400478
array5_1,94363747,199857880,208053,55531,29714280
sortedlist5_1,7869729,15278892,91823,24337,3017289
array5_2,1537265,1126444,62742,18129,208006
sortedlist5_2,1887150,1145999,79886,18259,212379
array5_3,7704116,14378883,87118,27562,2147918
sortedlist5_3,1746182,1683683,71851,19019,321305
array5_4,2237519,2895118,75029,20643,550369
sortedlist5_4,2024547,2382369,73699,17322,450398
array5_5,8763159,15830044,98566,35036,2398778
sortedlist5_5,2090768,2258249,73719,23000,429007
array5_6,21504690,48069447,130576,32072,9276540
sortedlist5_6,15015680,32934729,112807,40292,6370251
array5_7,7972274,14364187,87884,39182,2145415
sortedlist5_7,2443099,1692701,85047,34469,323029
array5_8,1820445,1140867,76819,31978,211318
sortedlist5_8,1605672,1142917,71751,19850,210885
array5_9,7834232,13922247,95881,46258,2082380
sortedlist5_9,1834715,1678616,72410,26928,320177
array5_10,7511063,13920581,83332,34410,2082054
sortedlist5_10,2499262,1684578,104173,30751,321206
array5_11,1536895,1137522,69901,20907,210884
sortedlist5_11,1523389,1117261,68709,26432,207390
array5_12,8251934,13951030,101205,36841,2087965
sortedlist5_12,2481820,1692501,93321,32024,322671
array5_13,3051478,1967227,90726,36342,374176
sortedlist5_13,2533027,1688773,99978,31723,319546
array5_14,8280555,14355829,96779,35152,2144169
sortedlist5_14,1815175,1682159,73421,24751,321421
array5_15,9809400,16471160,107398,37108,2543545
sortedlist5_15,2695789,3123108,88988,26713,595753
array5_16,4877280,6853357,102616,28522,1052448
sortedlist5_16,2137318,1411559,86424,29726,265766
array5_17,4114829,6779549,76327,26531,1038818
sortedlist5_17,1613058,1386772,71088,17589,262283
array5_18,13792753,19819855,137790,32730,3797275
sortedlist5_18,6653181,13294222,86690,23879,2548473
array5_19,241261495,514505544,609261,105858,84499444
sortedlist5_19,66248777,141221363,258737,52978,27235159
array5_20,711883820,1531828351,965325,183901,229007792
sortedlist5_20,55369908,103785992,314817,62317,20399365
array6_1,93351048,199877220,249643,69997,29717491
sortedlist6_1,7502313,15270499,89038,24285,3016197
array6_2,1800830,1142109,89747,28320,210768
sortedlist6_2,1540431,1123245,66768,18113,208339
array6_3,9082896,14372553,106765,28766,2147373
sortedlist6_3,1802758,1678488,71396,22360,320509
array6_4,3347172,2928527,96365,43649,554425
sortedlist6_4,1998936,2374927,74189,17271,448873
array6_5,8747668,15755848,95934,28720,2387085
sortedlist6_5,2450035,2284574,87665,32165,433567
array6_6,22147412,48355812,137191,36922,9286700
sortedlist6_6,15149481,33197380,124488,39591,6375929
array6_7,7527299,14393645,76616,22170,2150150
sortedlist6_7,1901298,1693306,82271,25610,322670
array6_8,1611907,1131580,69580,23510,209285
sortedlist6_8,1588351,1140197,75776,20128,210519
array6_9,8531392,13985534,114523,37729,2094011
sortedlist6_9,2135127,1692688,74887,31688,322963
array6_10,7345992,13909329,84202,24793,2080420
sortedlist6_10,1953348,1688621,80883,34970,322007
array6_11,1568714,1154065,74126,21166,213180
sortedlist6_11,1628357,1136947,75173,28234,210585
array6_12,7860673,13914457,103730,40204,2082272
sortedlist6_12,1802237,1679088,75185,22732,320250
array6_13,2900876,1973859,103269,34961,375110
sortedlist6_13,1882418,1678102,81969,27464,317685
array6_14,7673788,14357504,87785,28796,2144250
sortedlist6_14,2178924,1684392,93983,23412,321847
array6_15,9444167,16491675,103389,25229,2546749
sortedlist6_15,2517568,3062496,78175,30491,586198
array6_16,4112969,6800846,74098,20607,1042306
sortedlist6_16,1605192,1386060,67693,19173,262430
array6_17,4963709,6779628,114014,40671,1039201
sortedlist6_17,2007640,1412914,93301,34316,266267
array6_18,11517948,19801279,141145,35966,3794319
sortedlist6_18,11233417,13217313,154127,44859,2550100
array6_19,303204618,550775150,1120111,140636,91225648
sortedlist6_19,112695945,167322119,471653,80137,32319919
array6_20,708951614,1531699627,959190,164503,228986425
sortedlist6_20,57387401,103933438,186138,40645,20406138
array7_1,91089628,199825631,195010,69885,29713595
sortedlist7_1,13339081,15277469,107312,45171,3017291
array7_2,1603322,1130592,70364,24120,209302
sortedlist7_2,1492540,1126597,72141,17948,208151
array7_3,7432176,14349579,75172,17711,2142926
sortedlist7_3,1834823,1695835,79365,31240,322531
array7_4,2644214,2929714,89950,22608,555133
sortedlist7_4,3201738,2397890,92436,39938,452275
array7_5,8142725,15770997,86651,19929,2388319
sortedlist7_5,2313975,2253276,87391,31941,427856
array7_6,22471607,48146413,135358,38498,9265442
sortedlist7_6,27096653,32993410,109406,29801,6364974
array7_7,7522588,14380346,80140,21874,2148024
sortedlist7_7,1734297,1681465,69944,19038,321351
array7_8,1780814,1141900,79678,25604,211405
sortedlist7_8,1559281,1127943,72850,21998,208279
array7_9,7817805,13898092,101313,40890,2078809
sortedlist7_9,1816851,1683970,74710,24319,321620
array7_10,7217973,13886166,74353,18682,2076513
sortedlist7_10,1812110,1684419,74275,27940,321622
array7_11,1685785,1138886,81305,27457,210459
sortedlist7_11,1728280,1131235,76370,31277,209810
array7_12,9586218,13899845,127760,23761,2079374
sortedlist7_12,1775508,1671770,67542,15536,319515
array7_13,1914848,1972774,71395,17293,374607
sortedlist7_13,1757837,1674420,68058,17312,317260
array7_14,7486644,14360594,79023,25992,2145285
sortedlist7_14,2456217,1701146,95389,30664,324312
array7_15,8314334,16453241,81352,29485,2540585
sortedlist7_15,2941271,3108089,98939,31063,594485
array7_16,4164968,6764044,82452,21191,1036660
sortedlist7_16,1669690,1396961,72562,25146,263548
array7_17,4824128,6845907,92041,31233,1050436
sortedlist7_17,1683788,1400591,76695,26033,264523
array7_18,10208230,19785478,112354,36853,3791828
sortedlist7_18,6701684,13277087,88939,26468,2546081
array7_19,526892479,1150605879,979084,107038,186477085
sortedlist7_19,128530387,280306232,486173,74123,54244128
array7_20,710745691,1530947642,1102025,279094,228915477
sortedlist7_20,46892378,103896652,183433,37733,20400274
array8_1,113002935,200002531,452048,130394,29743062
sortedlist8_1,9837741,15243412,86362,23137,3011740
array8_2,1502053,1123930,69211,20058,208059
sortedlist8_2,1590605,1121066,66662,22244,207649
array8_3,7491617,14347248,80359,22671,2142846
sortedlist8_3,1750768,1679129,68105,16971,320773
array8_4,2327419,2909100,75921,29416,552537
sortedlist8_4,2372491,2406256,89211,23783,453880
array8_5,8239562,15777352,85612,25935,2389598
sortedlist8_5,2204394,2259575,79457,21156,428660
array8_6,22434086,48393787,137198,37049,9292746
sortedlist8_6,20646459,33212226,151508,32646,6378422
array8_7,7473952,14358374,81427,22582,2144396
sortedlist8_7,2006867,1678069,81172,25178,320752
array8_8,1762736,1115222,81270,28416,207147
sortedlist8_8,2133284,1108468,91967,26538,205726
array8_9,7236143,13904094,74083,19223,2079610
sortedlist8_9,1841668,1681516,68822,16610,321203
array8_10,7205112,13890474,74038,19201,2077176
sortedlist8_10,2001861,1695451,86286,32016,323059
array8_11,1568301,1151979,72599,19508,213099
sortedlist8_11,1556169,1126156,70069,24309,208812
array8_12,7668506,13937898,101457,28563,2085530
sortedlist8_12,2071945,1680746,86553,27213,321036
array8_13,1878346,1961691,70098,18657,373360
sortedlist8_13,1763676,1671562,71737,24855,316537
array8_14,8310627,14457030,110712,43386,2160929
sortedlist8_14,1796038,1693682,69400,17872,323150
array8_15,10829877,16476379,130992,39044,2544279
sortedlist8_15,2299540,3055599,73196,18802,585162
array8_16,4181481,6773852,75809,30844,1037929
sortedlist8_16,1624115,1407247,72930,17779,265154
array8_17,4192910,6773665,80373,25015,1038106
sortedlist8_17,1672152,1395765,70146,17708,263875
array8_18,17766409,19697941,110104,22005,3782063
sortedlist8_18,6765093,13282264,92501,25844,2546764
array8_19,749892328,1448384194,1779435,172704,245868515
sortedlist8_19,212829086,504179355,513969,83138,97406734
array8_20,951058540,1537694911,4858847,1185887,230057045
sortedlist8_20,71730923,104004915,393658,67960,20418328
array9_1,93287727,199780242,192295,37738,29706393
sortedlist9_1,8205926,15246457,100876,24888,3012462
array9_2,1594624,1138093,72474,24974,210177
sortedlist9_2,1468004,1110202,69886,17976,206020
array9_3,7602119,14373049,83801,27320,2147042
sortedlist9_3,3266506,1708432,79936,39190,326529
array9_4,3591846,2936630,97976,35922,555834
sortedlist9_4,2082768,2378113,76154,28258,449621
array9_5,8995843,15787923,96879,42902,2391878
sortedlist9_5,1997838,2253231,77882,27950,427873
array9_6,21379184,48381189,126142,28257,9291191
sortedlist9_6,20906320,33164213,184961,45029,6382259
array9_7,7846053,14354113,95509,30970,2144416
sortedlist9_7,1731164,1674871,69761,19095,319981
array9_8,1755299,1126703,80129,26171,208747
sortedlist9_8,1578234,1120719,80731,27849,207595
array9_9,7453919,13927155,92879,30033,2083484
sortedlist9_9,1810163,1716234,82598,17487,326748
array9_10,9725945,13939952,140022,37958,2085960
sortedlist9_10,1733940,1683377,68600,21147,321080
array9_11,1497950,1142965,74395,24963,211498
sortedlist9_11,1535003,1125358,71843,19110,208652
array9_12,7293826,13903007,77989,24151,2080192
sortedlist9_12,1718456,1672986,64331,17044,319553
array9_13,2274306,1964493,75671,24486,373010
sortedlist9_13,1771891,1684599,73421,19272,319107
array9_14,10183565,14400706,128246,43887,2152027
sortedlist9_14,1944981,1689550,84044,25826,322157
array9_15,8348278,16436444,85901,19973,2538098
sortedlist9_15,2296287,3061167,74077,18008,586107
array9_16,4499762,6779356,86825,31976,1039016
sortedlist9_16,1612900,1394506,69643,18590,263619
array9_17,4698424,6820605,80636,19768,1045933
sortedlist9_17,1664677,1394319,69597,17063,263126
array9_18,9567910,19663807,102137,27127,3783923
sortedlist9_18,7158259,13251659,103638,29014,2545523
array9_19,1107049169,2426824679,2503668,190731,408771346
sortedlist9_19,379863199,818575371,1280017,160294,158143383
array9_20,874962973,1534860781,4368070,784350,229540261
sortedlist9_20,49291128,103961167,248640,37427,20411569
array10_1,91667812,199817920,177087,47270,29707627
sortedlist10_1,8637021,15268761,110976,39367,3016004
array10_2,1521900,1125238,71721,21245,208618
sortedlist10_2,1589661,1113421,68526,22554,206542
array10_3,8014959,14365514,96157,38816,2145394
sortedlist10_3,1862042,1696910,76545,29363,323580
array10_4,2516564,2926222,77807,25509,554697
sortedlist10_4,3193164,2392695,100721,35156,452210
array10_5,8766567,15771595,111030,41368,2388072
sortedlist10_5,2984069,2248731,90785,26947,427110
array10_6,40067188,49099048,472779,85565,9440490
sortedlist10_6,14912386,33082554,101686,24229,6363069
array10_7,7786406,14373996,97177,38151,2147562
sortedlist10_7,1776040,1665789,69831,21985,318587
array10_8,1567359,1134903,76550,25239,210441
sortedlist10_8,1841331,1116940,80693,29684,206855
array10_9,7564192,13901350,84126,37369,2078501
sortedlist10_9,2930982,1695124,71305,31941,323548
array10_10,10181454,13920482,125258,48105,2082649
sortedlist10_10,1795411,1693529,78293,28431,322664
array10_11,1549818,1135253,71527,24436,210537
sortedlist10_11,1533577,1121836,71472,26281,208192
array10_12,7246907,13921481,82148,20688,2083176
sortedlist10_12,1930175,1677533,76430,26983,320547
array10_13,1921233,1980992,74671,21894,375765
sortedlist10_13,1733065,1659435,68852,18934,314678
array10_14,8083224,14389207,88808,30570,2149351
sortedlist10_14,2066792,1683852,78556,36376,321330
array10_15,8678085,16460119,93934,35094,2541942
sortedlist10_15,2513875,3062956,78896,24664,586451
array10_16,4156833,6786461,86980,22128,1039899
sortedlist10_16,2294314,1384522,96246,30408,261764
array10_17,4059890,6779795,74226,18568,1039250
sortedlist10_17,1679308,1395012,72405,26063,263511
array10_18,9381110,19633881,92140,21906,3780917
sortedlist10_18,8334841,13225393,114562,36170,2540946
array10_19,1447974853,3279596219,2772714,257995,567179688
sortedlist10_19,575019501,1262946280,1732805,219985,244511975
array10_20,917819831,1534881833,4779398,893414,229607779
sortedlist10_20,50491898,103621022,242746,53648,20387723
array11_1,101736673,200136328,341552,76761,29762771
sortedlist11_1,8531905,15274347,119772,42130,3016480
array11_2,1790559,1148808,94240,32968,212701
sortedlist11_2,1678355,1141368,83091,32568,210945
array11_3,7628398,14374949,91486,23882,2147817
sortedlist11_3,1789675,1697410,77392,17976,323490
array11_4,3512541,2986611,120340,33814,564590
sortedlist11_4,2066562,2388574,81609,20174,451165
array11_5,8314985,15803692,101330,37166,2394348
sortedlist11_5,2464207,2283402,96579,28637,434463
array11_6,24195845,48406852,165586,34767,9295316
sortedlist11_6,15739046,32994038,124648,29983,6352647
array11_7,7423869,14367085,82199,18879,2146413
sortedlist11_7,2044522,1699505,97205,30920,324296
array11_8,1738703,1145314,86517,26002,212067
sortedlist11_8,1754405,1155138,88794,36083,213703
array11_9,7280931,13919172,84031,19938,2082294
sortedlist11_9,2415297,1704423,88434,25241,324707
array11_10,7262679,13905289,78155,20586,2080283
sortedlist11_10,1904933,1700927,86042,23761,324201
array11_11,1906281,1180202,90138,36562,218618
sortedlist11_11,1664500,1160090,79529,18336,214730
array11_12,9185639,13943061,104974,30923,2086480
sortedlist11_12,2156010,1712850,93171,41052,326505
array11_13,2162698,1992649,81461,19832,378013
sortedlist11_13,1913606,1680885,82295,19900,318494
array11_14,7779835,14403928,100196,21805,2152463
sortedlist11_14,1978209,1692666,89891,24659,323821
array11_15,9524598,16586432,118889,39215,2562226
sortedlist11_15,2768846,3071476,84586,23914,587655
array11_16,4117260,6791972,84588,22043,1040642
sortedlist11_16,1894653,1414942,85675,32215,267172
array11_17,4351923,6797174,90560,34861,1042319
sortedlist11_17,1696700,1411464,83601,25575,265571
array11_18,14956120,19825703,126884,32585,3797872
sortedlist11_18,6452702,13180630,82438,17018,2540076
array11_19,2689920370,5895875649,6308649,471592,1014644269
sortedlist11_19,1224240519,2270227201,5921758,843919,438400616
array11_20,762565083,1533962141,2027657,447818,229364344
sortedlist11_20,63703588,104109481,470511,83494,20436295
array12_1,98557606,200110348,351218,87584,29753698
sortedlist12_1,7745293,15152709,115487,38379,3007721
array12_2,1534494,1144848,78344,23382,211914
sortedlist12_2,2555445,1162120,104496,41866,214503
array12_3,9929782,14456099,145006,58418,2161624
sortedlist12_3,1914653,1732168,85774,40117,328510
array12_4,2658762,3034537,114962,31604,574553
sortedlist12_4,2023950,2395854,85171,20890,452561
array12_5,7982724,15834796,95287,22401,2399071
sortedlist12_5,2015435,2296591,85817,16694,435313
array12_6,23970734,48446345,188631,41086,9302077
sortedlist12_6,14720292,32869217,121770,23488,6354136
array12_7,8268608,14378585,103279,30922,2147933
sortedlist12_7,1730916,1706320,82155,23598,324845
array12_8,1512523,1146898,82090,23102,212239
sortedlist12_8,1793062,1145022,96808,37086,211315
array12_9,7316748,13938234,92766,25852,2085258
sortedlist12_9,1843108,1710259,91750,29097,325692
array12_10,7448975,13957200,103812,23766,2088516
sortedlist12_10,1718738,1697370,80366,17550,323956
array12_11,1519242,1177961,81961,19583,217551
sortedlist12_11,1883040,1224151,110516,31092,225299
array12_12,7932059,13919579,105104,39069,2083361
sortedlist12_12,1699331,1702242,74341,15263,324342
array12_13,2172619,1986599,91921,31879,376481
sortedlist12_13,1845683,1690046,87313,21782,319725
array12_14,8396325,14377699,119251,45170,2147711
sortedlist12_14,1903562,1706304,95849,20097,325074
array12_15,12386959,16526975,142221,45062,2553013
sortedlist12_15,2524555,3075298,90050,32783,589085
array12_16,5300843,6831685,114318,46360,1047974
sortedlist12_16,1682107,1410251,84362,30113,265990
array12_17,4007582,6785731,84672,20511,1040038
sortedlist12_17,1636722,1410024,86518,18990,266033
array12_18,9436214,19808247,101078,22400,3795907
sortedlist12_18,7977182,13325905,128683,40423,2554772
array12_19,3315895016,7167877350,9724046,996332,1219252777
sortedlist12_19,1323776841,2581380120,2950488,265809,498609822
array12_20,688672272,1531402818,660202,90151,228938339
sortedlist12_20,45398534,103955029,196033,47011,20411166
array13_1,87374912,199843920,140071,26469,29711597
sortedlist13_1,7493067,15264001,95429,21199,3015054
array13_2,1559174,1144138,82647,23068,211882
sortedlist13_2,1624786,1137671,83125,24143,210189
array13_3,7802691,14400793,98015,28666,2151442
sortedlist13_3,1892914,1699394,82764,26836,324437
array13_4,2415750,2926607,78460,22353,554724
sortedlist13_4,2163594,2399040,78335,27071,452880
array13_5,8163399,15811308,94710,22866,2395462
sortedlist13_5,2053643,2287537,90744,17673,433811
array13_6,21472298,48346046,113584,21671,9285343
sortedlist13_6,21189471,33230973,197287,55970,6382509
array13_7,7808419,14382907,94507,34170,2148206
sortedlist13_7,1950430,1687397,81305,36541,322213
array13_8,1654543,1158061,87763,22817,213857
sortedlist13_8,1614827,1123675,80249,21134,207810
array13_9,7414225,13943682,94637,24964,2086484
sortedlist13_9,1836675,1704570,84407,21243,325076
array13_10,7552454,13921444,92042,29342,2082974
sortedlist13_10,1921195,1688232,82601,21921,322154
array13_11,1777228,1175292,88298,32018,217507
sortedlist13_11,1574880,1170402,84661,22175,216545
array13_12,8141198,13929882,105641,49681,2084206
sortedlist13_12,1820830,1698928,84056,21714,323965
array13_13,2049043,1984853,81738,29616,376560
sortedlist13_13,1821382,1693041,78373,19882,321545
array13_14,7599000,14362651,86510,22108,2145496
sortedlist13_14,1810175,1700440,76627,16966,324565
array13_15,8515647,16479549,92998,30636,2544907
sortedlist13_15,2379875,3085013,76964,17295,589683
array13_16,4070861,6781195,80311,20555,1039793
sortedlist13_16,1734378,1421659,87655,22712,268146
array13_17,4058486,6781288,80139,19326,1039259
sortedlist13_17,1870615,1422581,92571,31985,267932
array13_18,10156994,19832292,114077,31653,3799312
sortedlist13_18,7623264,13318593,124569,35951,2553307
array13_19,6532725906,14066139382,15926630,1626321,2327258668
sortedlist13_19,2245108562,4133665966,8234288,968959,798722484
array13_20,753636354,1532166090,1586120,280361,229071843
sortedlist13_20,99064407,106332706,923057,137953,20836316
array14_1,108326508,199941768,402901,91138,29731621
sortedlist14_1,8634516,15283794,118617,30915,3018090
array14_2,1881915,1145712,88871,20088,212263
sortedlist14_2,1529369,1129018,79802,19128,208767
array14_3,7449986,14364984,83608,21478,2145734
sortedlist14_3,2171906,1702548,82393,23408,324696
array14_4,2355756,2931173,83916,25032,556303
sortedlist14_4,2260321,2390544,88277,21442,451888
array14_5,8963052,15867628,110601,26433,2405386
sortedlist14_5,2612495,2309001,103065,37901,437419
array14_6,24210450,48550923,193436,56353,9319917
sortedlist14_6,24393196,33264547,193671,38502,6388190
array14_7,8834550,14439214,137402,57581,2158254
sortedlist14_7,1888095,1691929,78168,22380,323195
array14_8,1806210,1166209,95063,39116,215584
sortedlist14_8,1559664,1131135,77951,20370,209020
array14_9,8067918,13935781,114873,46046,2084850
sortedlist14_9,2398890,1715925,94351,32494,327285
array14_10,8363418,13930202,107931,39887,2083418
sortedlist14_10,1914193,1696613,83114,34146,323638
array14_11,1700360,1183864,85253,28498,218495
sortedlist14_11,1717646,1152387,75531,31270,213026
array14_12,7309778,13919484,87598,19815,2082179
sortedlist14_12,1985505,1701728,85686,34573,324855
array14_13,2493415,1980289,88347,22094,376498
sortedlist14_13,1846247,1698567,84000,20660,321350
array14_14,7572769,14381625,86503,29592,2148112
sortedlist14_14,1915900,1708175,82594,24822,325322
array14_15,13166045,16499520,152185,38698,2548184
sortedlist14_15,2344758,3070607,80889,19522,588059
array14_16,4590167,6795087,91619,38320,1041448
sortedlist14_16,1746900,1408549,88142,23598,265904
array14_17,4377711,6785569,91412,34631,1040321
sortedlist14_17,1757515,1416594,78085,30023,266771
array14_18,12253222,19848565,149897,42590,3801802
sortedlist14_18,9876461,13315521,104792,34214,2551935
array14_19,8940568148,18298314820,26549682,2777511,3021372301
sortedlist14_19,2637104769,5330289316,6711715,488822,1029827843
array14_20,739370932,1532498006,1609938,238726,229129846
sortedlist14_20,48347081,103979391,220959,46321,20414266
array15_1,89978134,199832810,165029,43380,29715296
sortedlist15_1,8898785,15264758,106934,29905,3015082
array15_2,1711682,1156234,85296,31335,213748
sortedlist15_2,1568055,1145997,77041,15301,211830
array15_3,7473899,14350407,75434,21365,2144365
sortedlist15_3,2798109,1701796,97433,37863,324241
