folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size
NCUB,NCUB4.c,gcc,12,-O1,1508,1508,1508.0
NCUB,NCUB4.c,gcc,12,-O2,1498,1498,1498.0
NCUB,NCUB4.c,gcc,12,-O3,1510,1510,1510.0
NCUB,NCUB4.c,gcc,12,-Os,1489,1489,1489.0
NCUB,NCUB4.c,gcc,12,-Ofast,1594,1594,1594.0
NCUB,NCUB5.c,gcc,9,-O0,1503,1503,1503.0
NCUB,NCUB5.c,gcc,9,-O1,1508,1508,1508.0
NCUB,NCUB5.c,gcc,9,-O2,1491,1491,1491.0
NCUB,NCUB5.c,gcc,9,-O3,1513,1513,1513.0
NCUB,NCUB5.c,gcc,9,-Os,1482,1482,1482.0
NCUB,NCUB5.c,gcc,9,-Ofast,1597,1597,1597.0
NCUB,NCUB5.c,gcc,10,-O0,1503,1503,1503.0
NCUB,NCUB5.c,gcc,10,-O1,1508,1508,1508.0
NCUB,NCUB5.c,gcc,10,-O2,1511,1511,1511.0
NCUB,NCUB5.c,gcc,10,-O3,1513,1513,1513.0
NCUB,NCUB5.c,gcc,10,-Os,1482,1482,1482.0
NCUB,NCUB5.c,gcc,10,-Ofast,1597,1597,1597.0
NCUB,NCUB5.c,gcc,11,-O0,1506,1506,1506.0
NCUB,NCUB5.c,gcc,11,-O1,1508,1508,1508.0
NCUB,NCUB5.c,gcc,11,-O2,1511,1511,1511.0
NCUB,NCUB5.c,gcc,11,-O3,1510,1510,1510.0
NCUB,NCUB5.c,gcc,11,-Os,1482,1482,1482.0
NCUB,NCUB5.c,gcc,11,-Ofast,1594,1594,1594.0
NCUB,NCUB5.c,gcc,12,-O0,1506,1506,1506.0
NCUB,NCUB5.c,gcc,12,-O1,1508,1508,1508.0
NCUB,NCUB5.c,gcc,12,-O2,1498,1498,1498.0
NCUB,NCUB5.c,gcc,12,-O3,1510,1510,1510.0
NCUB,NCUB5.c,gcc,12,-Os,1489,1489,1489.0
NCUB,NCUB5.c,gcc,12,-Ofast,1594,1594,1594.0
NCUB,NCUB9.c,gcc,9,-O0,1708,1708,1708.0
NCUB,NCUB9.c,gcc,9,-O1,1564,1564,1564.0
NCUB,NCUB9.c,gcc,9,-O2,1568,1568,1568.0
NCUB,NCUB9.c,gcc,9,-O3,1822,1822,1822.0
NCUB,NCUB9.c,gcc,9,-Os,1538,1538,1538.0
NCUB,NCUB9.c,gcc,9,-Ofast,1910,1910,1910.0
NCUB,NCUB9.c,gcc,10,-O0,1690,1690,1690.0
NCUB,NCUB9.c,gcc,10,-O1,1564,1564,1564.0
NCUB,NCUB9.c,gcc,10,-O2,1568,1568,1568.0
NCUB,NCUB9.c,gcc,10,-O3,1822,1822,1822.0
NCUB,NCUB9.c,gcc,10,-Os,1538,1538,1538.0
NCUB,NCUB9.c,gcc,10,-Ofast,1910,1910,1910.0
NCUB,NCUB9.c,gcc,11,-O0,1696,1696,1696.0
NCUB,NCUB9.c,gcc,11,-O1,1564,1564,1564.0
NCUB,NCUB9.c,gcc,11,-O2,1568,1568,1568.0
NCUB,NCUB9.c,gcc,11,-O3,1798,1798,1798.0
NCUB,NCUB9.c,gcc,11,-Os,1538,1538,1538.0
NCUB,NCUB9.c,gcc,11,-Ofast,1886,1886,1886.0
NCUB,NCUB9.c,gcc,12,-O0,1705,1705,1705.0
NCUB,NCUB9.c,gcc,12,-O1,1564,1564,1564.0
NCUB,NCUB9.c,gcc,12,-O2,1566,1566,1566.0
NCUB,NCUB9.c,gcc,12,-O3,1771,1771,1771.0
NCUB,NCUB9.c,gcc,12,-Os,1535,1535,1535.0
NCUB,NCUB9.c,gcc,12,-Ofast,1859,1859,1859.0
AAMU,AAMU1.c,gcc,9,-O0,1436,1436,1436.0
AAMU,AAMU1.c,gcc,9,-O1,1439,1439,1439.0
AAMU,AAMU1.c,gcc,9,-O2,1434,1434,1434.0
AAMU,AAMU1.c,gcc,9,-O3,1434,1434,1434.0
AAMU,AAMU1.c,gcc,9,-Os,1427,1427,1427.0
AAMU,AAMU1.c,gcc,9,-Ofast,1518,1518,1518.0
AAMU,AAMU1.c,gcc,10,-O0,1436,1436,1436.0
AAMU,AAMU1.c,gcc,10,-O1,1439,1439,1439.0
AAMU,AAMU1.c,gcc,10,-O2,1434,1434,1434.0
AAMU,AAMU1.c,gcc,10,-O3,1434,1434,1434.0
AAMU,AAMU1.c,gcc,10,-Os,1427,1427,1427.0
AAMU,AAMU1.c,gcc,10,-Ofast,1518,1518,1518.0
AAMU,AAMU1.c,gcc,11,-O0,1439,1439,1439.0
AAMU,AAMU1.c,gcc,11,-O1,1439,1439,1439.0
AAMU,AAMU1.c,gcc,11,-O2,1434,1434,1434.0
AAMU,AAMU1.c,gcc,11,-O3,1434,1434,1434.0
AAMU,AAMU1.c,gcc,11,-Os,1427,1427,1427.0
AAMU,AAMU1.c,gcc,11,-Ofast,1518,1518,1518.0
AAMU,AAMU1.c,gcc,12,-O0,1439,1439,1439.0
AAMU,AAMU1.c,gcc,12,-O1,1439,1439,1439.0
AAMU,AAMU1.c,gcc,12,-O2,1434,1434,1434.0
AAMU,AAMU1.c,gcc,12,-O3,1434,1434,1434.0
AAMU,AAMU1.c,gcc,12,-Os,1427,1427,1427.0
AAMU,AAMU1.c,gcc,12,-Ofast,1518,1518,1518.0
AAMU,AAMU10.c,gcc,9,-O0,1672,1672,1672.0
AAMU,AAMU10.c,gcc,9,-O1,1654,1654,1654.0
AAMU,AAMU10.c,gcc,9,-O2,1658,1658,1658.0
AAMU,AAMU10.c,gcc,9,-O3,1658,1658,1658.0
AAMU,AAMU10.c,gcc,9,-Os,1651,1651,1651.0
AAMU,AAMU10.c,gcc,9,-Ofast,1746,1746,1746.0
AAMU,AAMU10.c,gcc,10,-O0,1672,1672,1672.0
AAMU,AAMU10.c,gcc,10,-O1,1654,1654,1654.0
AAMU,AAMU10.c,gcc,10,-O2,1658,1658,1658.0
AAMU,AAMU10.c,gcc,10,-O3,1658,1658,1658.0
AAMU,AAMU10.c,gcc,10,-Os,1651,1651,1651.0
AAMU,AAMU10.c,gcc,10,-Ofast,1746,1746,1746.0
AAMU,AAMU10.c,gcc,11,-O0,1681,1681,1681.0
AAMU,AAMU10.c,gcc,11,-O1,1654,1654,1654.0
AAMU,AAMU10.c,gcc,11,-O2,1674,1674,1674.0
AAMU,AAMU10.c,gcc,11,-O3,1674,1674,1674.0
AAMU,AAMU10.c,gcc,11,-Os,1667,1667,1667.0
AAMU,AAMU10.c,gcc,11,-Ofast,1762,1762,1762.0
AAMU,AAMU10.c,gcc,12,-O0,1681,1681,1681.0
AAMU,AAMU10.c,gcc,12,-O1,1654,1654,1654.0
AAMU,AAMU10.c,gcc,12,-O2,1671,1671,1671.0
AAMU,AAMU10.c,gcc,12,-O3,1671,1671,1671.0
AAMU,AAMU10.c,gcc,12,-Os,1664,1664,1664.0
AAMU,AAMU10.c,gcc,12,-Ofast,1759,1759,1759.0
AAMU,AAMU2.c,gcc,9,-O0,1500,1500,1500.0
AAMU,AAMU2.c,gcc,9,-O1,1535,1535,1535.0
AAMU,AAMU2.c,gcc,9,-O2,1559,1559,1559.0
AAMU,AAMU2.c,gcc,9,-O3,1476,1476,1476.0
AAMU,AAMU2.c,gcc,9,-Os,1525,1525,1525.0
AAMU,AAMU2.c,gcc,9,-Ofast,1564,1564,1564.0
AAMU,AAMU2.c,gcc,10,-O0,1500,1500,1500.0
AAMU,AAMU2.c,gcc,10,-O1,1535,1535,1535.0
AAMU,AAMU2.c,gcc,10,-O2,2257,2257,2257.0
AAMU,AAMU2.c,gcc,10,-O3,1476,1476,1476.0
AAMU,AAMU2.c,gcc,10,-Os,1525,1525,1525.0
AAMU,AAMU2.c,gcc,10,-Ofast,1564,1564,1564.0
AAMU,AAMU2.c,gcc,11,-O0,1503,1503,1503.0
AAMU,AAMU2.c,gcc,11,-O1,1535,1535,1535.0
AAMU,AAMU2.c,gcc,11,-O2,2249,2249,2249.0
AAMU,AAMU2.c,gcc,11,-O3,1476,1476,1476.0
AAMU,AAMU2.c,gcc,11,-Os,1525,1525,1525.0
AAMU,AAMU2.c,gcc,11,-Ofast,1564,1564,1564.0
AAMU,AAMU2.c,gcc,12,-O0,1503,1503,1503.0
AAMU,AAMU2.c,gcc,12,-O1,1538,1538,1538.0
AAMU,AAMU2.c,gcc,12,-O2,2484,2484,2484.0
AAMU,AAMU2.c,gcc,12,-O3,1476,1476,1476.0
AAMU,AAMU2.c,gcc,12,-Os,1518,1518,1518.0
AAMU,AAMU2.c,gcc,12,-Ofast,1564,1564,1564.0
AAMU,AAMU9.c,gcc,9,-O0,1672,1672,1672.0
AAMU,AAMU9.c,gcc,9,-O1,1654,1654,1654.0
AAMU,AAMU9.c,gcc,9,-O2,1658,1658,1658.0
AAMU,AAMU9.c,gcc,9,-O3,1658,1658,1658.0
AAMU,AAMU9.c,gcc,9,-Os,1651,1651,1651.0
AAMU,AAMU9.c,gcc,9,-Ofast,1746,1746,1746.0
AAMU,AAMU9.c,gcc,10,-O0,1672,1672,1672.0
AAMU,AAMU9.c,gcc,10,-O1,1654,1654,1654.0
AAMU,AAMU9.c,gcc,10,-O2,1658,1658,1658.0
AAMU,AAMU9.c,gcc,10,-O3,1658,1658,1658.0
AAMU,AAMU9.c,gcc,10,-Os,1651,1651,1651.0
AAMU,AAMU9.c,gcc,10,-Ofast,1746,1746,1746.0
AAMU,AAMU9.c,gcc,11,-O0,1681,1681,1681.0
AAMU,AAMU9.c,gcc,11,-O1,1654,1654,1654.0
AAMU,AAMU9.c,gcc,11,-O2,1674,1674,1674.0
AAMU,AAMU9.c,gcc,11,-O3,1674,1674,1674.0
AAMU,AAMU9.c,gcc,11,-Os,1667,1667,1667.0
AAMU,AAMU9.c,gcc,11,-Ofast,1762,1762,1762.0
AAMU,AAMU9.c,gcc,12,-O0,1681,1681,1681.0
AAMU,AAMU9.c,gcc,12,-O1,1654,1654,1654.0
AAMU,AAMU9.c,gcc,12,-O2,1671,1671,1671.0
AAMU,AAMU9.c,gcc,12,-O3,1671,1671,1671.0
AAMU,AAMU9.c,gcc,12,-Os,1664,1664,1664.0
AAMU,AAMU9.c,gcc,12,-Ofast,1759,1759,1759.0
LMNZ,LMNZ1.c,gcc,9,-O0,1458,1458,1458.0
LMNZ,LMNZ1.c,gcc,9,-O1,1460,1460,1460.0
LMNZ,LMNZ1.c,gcc,9,-O2,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,9,-O3,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,9,-Os,1439,1439,1439.0
LMNZ,LMNZ1.c,gcc,9,-Ofast,1530,1530,1530.0
LMNZ,LMNZ1.c,gcc,10,-O0,1458,1458,1458.0
LMNZ,LMNZ1.c,gcc,10,-O1,1460,1460,1460.0
LMNZ,LMNZ1.c,gcc,10,-O2,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,10,-O3,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,10,-Os,1439,1439,1439.0
LMNZ,LMNZ1.c,gcc,10,-Ofast,1530,1530,1530.0
LMNZ,LMNZ1.c,gcc,11,-O0,1461,1461,1461.0
LMNZ,LMNZ1.c,gcc,11,-O1,1460,1460,1460.0
LMNZ,LMNZ1.c,gcc,11,-O2,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,11,-O3,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,11,-Os,1439,1439,1439.0
LMNZ,LMNZ1.c,gcc,11,-Ofast,1530,1530,1530.0
LMNZ,LMNZ1.c,gcc,12,-O0,1461,1461,1461.0
LMNZ,LMNZ1.c,gcc,12,-O1,1460,1460,1460.0
LMNZ,LMNZ1.c,gcc,12,-O2,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,12,-O3,1446,1446,1446.0
LMNZ,LMNZ1.c,gcc,12,-Os,1439,1439,1439.0
LMNZ,LMNZ1.c,gcc,12,-Ofast,1530,1530,1530.0
LMNZ,LMNZ10.c,gcc,9,-O0,1637,1637,1637.0
LMNZ,LMNZ10.c,gcc,9,-O1,1685,1685,1685.0
LMNZ,LMNZ10.c,gcc,9,-O2,1727,1727,1727.0
LMNZ,LMNZ10.c,gcc,9,-O3,2339,2339,2339.0
LMNZ,LMNZ10.c,gcc,9,-Os,1683,1683,1683.0
LMNZ,LMNZ10.c,gcc,9,-Ofast,2427,2427,2427.0
LMNZ,LMNZ10.c,gcc,10,-O0,1637,1637,1637.0
LMNZ,LMNZ10.c,gcc,10,-O1,1685,1685,1685.0
LMNZ,LMNZ10.c,gcc,10,-O2,1727,1727,1727.0
LMNZ,LMNZ10.c,gcc,10,-O3,2387,2387,2387.0
LMNZ,LMNZ10.c,gcc,10,-Os,1683,1683,1683.0
LMNZ,LMNZ10.c,gcc,10,-Ofast,2475,2475,2475.0
LMNZ,LMNZ10.c,gcc,11,-O0,1643,1643,1643.0
LMNZ,LMNZ10.c,gcc,11,-O1,1712,1712,1712.0
LMNZ,LMNZ10.c,gcc,11,-O2,1743,1743,1743.0
LMNZ,LMNZ10.c,gcc,11,-O3,2387,2387,2387.0
LMNZ,LMNZ10.c,gcc,11,-Os,1663,1663,1663.0
LMNZ,LMNZ10.c,gcc,11,-Ofast,2475,2475,2475.0
LMNZ,LMNZ10.c,gcc,12,-O0,1643,1643,1643.0
LMNZ,LMNZ10.c,gcc,12,-O1,1712,1712,1712.0
LMNZ,LMNZ10.c,gcc,12,-O2,1727,1727,1727.0
LMNZ,LMNZ10.c,gcc,12,-O3,1217,1217,1217.0
LMNZ,LMNZ10.c,gcc,12,-Os,1683,1683,1683.0
LMNZ,LMNZ10.c,gcc,12,-Ofast,1305,1305,1305.0
LMNZ,LMNZ11.c,gcc,9,-O0,1692,1692,1692.0
LMNZ,LMNZ11.c,gcc,9,-O1,1211,1211,1211.0
LMNZ,LMNZ11.c,gcc,9,-O2,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,9,-O3,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,9,-Os,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,9,-Ofast,1305,1305,1305.0
LMNZ,LMNZ11.c,gcc,10,-O0,1692,1692,1692.0
LMNZ,LMNZ11.c,gcc,10,-O1,1211,1211,1211.0
LMNZ,LMNZ11.c,gcc,10,-O2,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,10,-O3,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,10,-Os,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,10,-Ofast,1305,1305,1305.0
LMNZ,LMNZ11.c,gcc,11,-O0,1698,1698,1698.0
LMNZ,LMNZ11.c,gcc,11,-O1,1211,1211,1211.0
LMNZ,LMNZ11.c,gcc,11,-O2,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,11,-O3,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,11,-Os,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,11,-Ofast,1305,1305,1305.0
LMNZ,LMNZ11.c,gcc,12,-O0,1698,1698,1698.0
LMNZ,LMNZ11.c,gcc,12,-O1,1211,1211,1211.0
LMNZ,LMNZ11.c,gcc,12,-O2,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,12,-O3,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,12,-Os,1217,1217,1217.0
LMNZ,LMNZ11.c,gcc,12,-Ofast,1305,1305,1305.0
LMNZ,LMNZ12.c,gcc,9,-O0,1789,1789,1789.0
LMNZ,LMNZ12.c,gcc,9,-O1,1522,1522,1522.0
LMNZ,LMNZ12.c,gcc,9,-O2,1539,1539,1539.0
LMNZ,LMNZ12.c,gcc,9,-O3,1863,1863,1863.0
LMNZ,LMNZ12.c,gcc,9,-Os,1503,1503,1503.0
LMNZ,LMNZ12.c,gcc,9,-Ofast,1951,1951,1951.0
LMNZ,LMNZ12.c,gcc,10,-O0,1789,1789,1789.0
LMNZ,LMNZ12.c,gcc,10,-O1,1522,1522,1522.0
LMNZ,LMNZ12.c,gcc,10,-O2,1539,1539,1539.0
LMNZ,LMNZ12.c,gcc,10,-O3,1863,1863,1863.0
LMNZ,LMNZ12.c,gcc,10,-Os,1503,1503,1503.0
LMNZ,LMNZ12.c,gcc,10,-Ofast,1951,1951,1951.0
LMNZ,LMNZ12.c,gcc,11,-O0,1798,1798,1798.0
LMNZ,LMNZ12.c,gcc,11,-O1,1522,1522,1522.0
LMNZ,LMNZ12.c,gcc,11,-O2,1539,1539,1539.0
LMNZ,LMNZ12.c,gcc,11,-O3,1799,1799,1799.0
LMNZ,LMNZ12.c,gcc,11,-Os,1503,1503,1503.0
LMNZ,LMNZ12.c,gcc,11,-Ofast,1887,1887,1887.0
LMNZ,LMNZ12.c,gcc,12,-O0,1798,1798,1798.0
LMNZ,LMNZ12.c,gcc,12,-O1,1522,1522,1522.0
LMNZ,LMNZ12.c,gcc,12,-O2,1527,1527,1527.0
LMNZ,LMNZ12.c,gcc,12,-O3,2055,2055,2055.0
LMNZ,LMNZ12.c,gcc,12,-Os,1519,1519,1519.0
LMNZ,LMNZ12.c,gcc,12,-Ofast,2143,2143,2143.0
LMNZ,LMNZ2.c,gcc,9,-O0,1482,1482,1482.0
LMNZ,LMNZ2.c,gcc,9,-O1,1458,1458,1458.0
LMNZ,LMNZ2.c,gcc,9,-O2,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,9,-O3,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,9,-Os,1442,1442,1442.0
LMNZ,LMNZ2.c,gcc,9,-Ofast,1533,1533,1533.0
LMNZ,LMNZ2.c,gcc,10,-O0,1482,1482,1482.0
LMNZ,LMNZ2.c,gcc,10,-O1,1458,1458,1458.0
LMNZ,LMNZ2.c,gcc,10,-O2,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,10,-O3,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,10,-Os,1442,1442,1442.0
LMNZ,LMNZ2.c,gcc,10,-Ofast,1533,1533,1533.0
LMNZ,LMNZ2.c,gcc,11,-O0,1485,1485,1485.0
LMNZ,LMNZ2.c,gcc,11,-O1,1458,1458,1458.0
LMNZ,LMNZ2.c,gcc,11,-O2,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,11,-O3,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,11,-Os,1442,1442,1442.0
LMNZ,LMNZ2.c,gcc,11,-Ofast,1533,1533,1533.0
LMNZ,LMNZ2.c,gcc,12,-O0,1485,1485,1485.0
LMNZ,LMNZ2.c,gcc,12,-O1,1458,1458,1458.0
LMNZ,LMNZ2.c,gcc,12,-O2,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,12,-O3,1449,1449,1449.0
LMNZ,LMNZ2.c,gcc,12,-Os,1442,1442,1442.0
LMNZ,LMNZ2.c,gcc,12,-Ofast,1533,1533,1533.0
LMNZ,LMNZ3.c,gcc,9,-O0,1501,1501,1501.0
LMNZ,LMNZ3.c,gcc,9,-O1,1470,1470,1470.0
LMNZ,LMNZ3.c,gcc,9,-O2,1449,1449,1449.0
LMNZ,LMNZ3.c,gcc,9,-O3,1449,1449,1449.0
LMNZ,LMNZ3.c,gcc,9,-Os,1442,1442,1442.0
LMNZ,LMNZ3.c,gcc,9,-Ofast,1533,1533,1533.0
LMNZ,LMNZ3.c,gcc,10,-O0,1501,1501,1501.0
LMNZ,LMNZ3.c,gcc,10,-O1,1470,1470,1470.0
LMNZ,LMNZ3.c,gcc,10,-O2,1449,1449,1449.0
LMNZ,LMNZ3.c,gcc,10,-O3,1449,1449,1449.0
LMNZ,LMNZ3.c,gcc,10,-Os,1442,1442,1442.0
LMNZ,LMNZ3.c,gcc,10,-Ofast,1533,1533,1533.0
